time_h,OD600,glucose_gL,pH
0,0.050,5.00,7.00
0.5,0.051,4.99,7.00
1.0,0.052,4.99,7.00
1.5,0.053,4.98,6.99
2.0,0.056,4.97,6.99
2.5,0.062,4.95,6.98
3.0,0.075,4.91,6.97
3.5,0.098,4.85,6.95
4.0,0.135,4.74,6.92
4.5,0.191,4.57,6.87
5.0,0.271,4.31,6.80
5.5,0.384,3.94,6.71
6.0,0.545,3.41,6.58
6.5,0.770,2.71,6.41
7.0,1.085,1.87,6.20
7.5,1.459,0.95,5.96
8.0,1.742,0.33,5.76
8.5,1.870,0.09,5.63
9.0,1.910,0.03,5.57
9.5,1.920,0.01,5.55
10.0,1.922,0.01,5.54
10.5,1.921,0.01,5.54
11.0,1.919,0.01,5.54
11.5,1.917,0.01,5.53
12.0,1.915,0.01,5.53
